case_id,expected_action,decision,intent_correct,judge_overall,judge_relevance,judge_groundedness,judge_helpfulness,judge_tone,judge_safety,judge_reason
e6adcd054038,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
d9437389b6f9,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
0750a2731a50,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
b7bbdd006c6d,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
4f16a141dce6,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
d825dc565cd1,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
d3d97c5d3534,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
b838712f742c,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
2528a579d9d9,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00
45160abb21fd,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
ade50882d737,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=billing_payment; evidence_overlap=1.00
1c78f2a32e99,ESCALATE,ESCALATE,True,4.0,4,3,4,4,5,retrieved_intent=billing_payment; evidence_overlap=0.08
7ecec77ccdd2,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=product_information; evidence_overlap=1.00
742c3fc8d236,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
f1bb276a1c76,AUTO,ESCALATE,False,3.6,3,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
3bbf96a5b997,ESCALATE,ESCALATE,False,3.6,3,3,3,4,5,retrieved_intent=device_app_issue; evidence_overlap=0.08
f592054b5eb8,AUTO,AUTO,True,4.2,5,4,2,5,5,retrieved_intent=order_change; evidence_overlap=1.00
0865e37cefbd,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
b3a476af3fb5,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
f5182766f7ed,ESCALATE,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
1c6f15833aa5,AUTO,AUTO,True,4.8,4,5,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
4b9f6292424a,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
6d8180758c4f,AUTO,AUTO,False,3.4,3,4,2,3,5,retrieved_intent=account_membership; evidence_overlap=1.00
1321f4420433,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
7b2a68717245,AUTO,AUTO,True,3.4,3,4,2,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
c13e862c635d,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00
2d7cf98a1ad8,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
0db760691223,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
d8a1586797ba,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
c7023259107d,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
ef727da71f1a,ESCALATE,ESCALATE,True,3.8,3,3,4,4,5,retrieved_intent=billing_payment; evidence_overlap=0.00
42c0e94a5988,ESCALATE,ESCALATE,True,4.0,4,3,4,4,5,retrieved_intent=account_membership; evidence_overlap=0.00
557083afcee9,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=product_information; evidence_overlap=1.00
a613acc9efad,ESCALATE,ESCALATE,True,4.2,5,3,4,4,5,retrieved_intent=account_membership; evidence_overlap=0.08
7a3caed9a747,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00
cc172922fa02,AUTO,AUTO,True,4.2,4,4,5,3,5,retrieved_intent=account_membership; evidence_overlap=1.00
3c923f2de722,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
014f06c1fa88,AUTO,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=delivery_issue; evidence_overlap=0.23
4a169ad7a548,AUTO,ESCALATE,True,3.6,3,3,3,4,5,retrieved_intent=order_change; evidence_overlap=0.00
02dabd15b55b,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
9c487816fe77,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
a3cb85dc338d,ESCALATE,ESCALATE,True,3.6,3,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
fc3056e4065f,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
d57fd66f5483,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
54640397828b,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
1fb777d89bdc,AUTO,AUTO,True,3.8,5,4,2,3,5,retrieved_intent=billing_payment; evidence_overlap=1.00
a0ab21fb2b9c,AUTO,AUTO,True,4.2,5,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00
461d555a020e,AUTO,AUTO,True,4.6,5,5,5,3,5,retrieved_intent=order_change; evidence_overlap=1.00
5356be0fc62a,AUTO,AUTO,True,3.8,2,4,5,3,5,retrieved_intent=general_complaint; evidence_overlap=1.00
7236349cd537,AUTO,AUTO,True,4.0,3,4,5,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
21b105825b8d,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
edd93357baf5,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
1200ff773a4f,AUTO,AUTO,True,4.2,5,4,2,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
4d24aa3084ba,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
a29553cc839f,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
b0e4792bad3f,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
4202b3e87f11,AUTO,AUTO,False,4.4,3,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
b05de890cef5,ESCALATE,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.08
309a79f7e9cd,ESCALATE,ESCALATE,True,4.0,5,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
b59ae8d834b5,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
97c7b9150c19,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=product_information; evidence_overlap=1.00
641dd5a3a3d4,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
35a81c8c9a97,ESCALATE,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.08
074a9b22f980,AUTO,AUTO,True,4.4,5,5,2,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
8194bb1b6b8b,AUTO,AUTO,True,4.8,4,5,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
aeebf4d4f7f1,AUTO,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=billing_payment; evidence_overlap=0.08
d1895be88ab8,AUTO,AUTO,True,4.4,5,4,5,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
0726374026c0,AUTO,AUTO,False,4.4,3,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
3bd00c326c59,AUTO,AUTO,False,3.4,3,4,2,3,5,retrieved_intent=return_refund; evidence_overlap=1.00
f47fdafd105a,ESCALATE,ESCALATE,True,3.6,3,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
d8d7a008a30b,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=product_information; evidence_overlap=1.00
88826e1306c1,AUTO,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=delivery_issue; evidence_overlap=0.15
0e5a6de769f3,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
93c5b1621625,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
9464383a9d83,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
374e709fc4c5,AUTO,AUTO,True,4.2,5,4,2,5,5,retrieved_intent=order_change; evidence_overlap=1.00
49d349fb2b22,ESCALATE,ESCALATE,True,4.2,5,3,4,4,5,retrieved_intent=billing_payment; evidence_overlap=0.31
bbeded881fcc,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
463d4b04fee2,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
e9b3120395cf,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
0c71e181e09c,AUTO,AUTO,True,3.8,3,4,2,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
defe35592cba,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=return_refund; evidence_overlap=1.00
5d5b1e75d792,AUTO,AUTO,True,4.2,5,4,2,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
e49d2ef67f61,AUTO,AUTO,True,4.8,4,5,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
8411cd21668e,AUTO,AUTO,True,4.4,5,5,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00
c68a27b5cc49,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
f2821ec980ad,ESCALATE,ESCALATE,False,3.6,3,3,3,4,5,retrieved_intent=delivery_issue; evidence_overlap=0.08
d05cdfc0515d,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=product_information; evidence_overlap=1.00
271db4e93817,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
939f1b875579,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
0c3d87814a41,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
6d1f45c558b6,AUTO,AUTO,True,4.2,5,4,2,5,5,retrieved_intent=order_change; evidence_overlap=1.00
ffb01049d475,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=product_information; evidence_overlap=1.00
89166f5972cf,AUTO,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=order_change; evidence_overlap=0.08
1e1914ea440f,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
8b1c54b3628f,AUTO,AUTO,True,3.8,5,4,2,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
4dea69d01c00,AUTO,ESCALATE,True,3.6,3,3,3,4,5,retrieved_intent=product_information; evidence_overlap=0.00
fccac43d0b4c,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00
00b7b854c84c,AUTO,AUTO,True,4.2,4,4,5,3,5,retrieved_intent=order_change; evidence_overlap=1.00
ca7e05829cb1,AUTO,ESCALATE,True,3.8,3,4,3,4,5,retrieved_intent=device_app_issue; evidence_overlap=0.46
33fb194a7abf,ESCALATE,ESCALATE,True,3.6,3,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.08
adb3edb543cd,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=billing_payment; evidence_overlap=1.00
a9ab0b5f939c,AUTO,AUTO,True,4.2,4,4,5,3,5,retrieved_intent=account_membership; evidence_overlap=1.00
75e7e1dafb3e,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=order_change; evidence_overlap=1.00
d2437996f3c6,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00
308e93275fc1,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=order_change; evidence_overlap=1.00
2fdf15fbaf07,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
0db39b8cf531,AUTO,AUTO,True,4.2,5,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00
a0564be1345e,AUTO,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=order_change; evidence_overlap=0.00
d6f0ef668376,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
df8186775df4,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
d0fa245accda,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
6c106b20ab97,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
527f6af13da5,AUTO,AUTO,True,4.0,3,4,5,3,5,retrieved_intent=billing_payment; evidence_overlap=1.00
2dd489320ca6,ESCALATE,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
994f32719fda,ESCALATE,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
49e8bc09f604,ESCALATE,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
d0acf141e228,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=order_change; evidence_overlap=1.00
e29837e397bd,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
bd0d749ee619,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
fc379616ced7,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
b9ee6984aa59,AUTO,AUTO,True,4.2,5,4,2,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
d5a5cb2bf446,AUTO,AUTO,True,3.8,5,4,2,3,5,retrieved_intent=account_membership; evidence_overlap=1.00
94b1ab570c6e,AUTO,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=account_membership; evidence_overlap=0.15
fd32c83ec5c9,ESCALATE,ESCALATE,True,4.0,5,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
af0e91f2d5f5,ESCALATE,ESCALATE,True,3.6,3,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
18ac66167146,AUTO,AUTO,True,4.2,5,4,2,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
5f604113b17f,AUTO,AUTO,False,3.4,3,4,2,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
493191d56f0a,AUTO,ESCALATE,True,3.6,3,3,3,4,5,retrieved_intent=delivery_issue; evidence_overlap=0.00
51180b9997b2,AUTO,AUTO,True,3.4,3,4,2,3,5,retrieved_intent=return_refund; evidence_overlap=1.00
b09c0f0c5e33,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=product_information; evidence_overlap=1.00
ad1a281da8bc,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=billing_payment; evidence_overlap=1.00
968b80b48862,AUTO,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=delivery_issue; evidence_overlap=0.08
e5e0e73ad7ad,AUTO,ESCALATE,False,3.6,2,4,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.54
eeb85db1bddc,ESCALATE,ESCALATE,True,4.0,5,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.31
9fe1ff15ccce,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
c1ccd4fe3bd7,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00
7d078ce8f7a5,ESCALATE,ESCALATE,True,4.0,5,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.15
39dab662f61f,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
3c3057898ac5,AUTO,AUTO,False,3.8,3,4,2,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
b17cee19421f,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
a6942fd6eb5c,AUTO,AUTO,True,4.2,4,5,2,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
c7a2a6a92f3b,ESCALATE,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.08
d7f043dfb4d1,AUTO,AUTO,False,3.8,3,4,2,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
230a39ec7dcf,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
94180612a036,AUTO,AUTO,True,4.4,5,4,5,3,5,retrieved_intent=account_membership; evidence_overlap=1.00
421c6ea74d04,AUTO,AUTO,True,3.8,5,4,2,3,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
d9d9b7edbb43,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
6f18bdbeebb8,AUTO,AUTO,True,4.2,5,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00
a8627db4776d,ESCALATE,ESCALATE,True,4.0,5,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.15
d47b6a8d130c,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
86274918a3ba,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
f962333a0483,AUTO,AUTO,True,3.8,3,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00
2d210bf272a5,ESCALATE,ESCALATE,True,3.6,3,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.15
adb12785504b,AUTO,AUTO,True,4.2,5,4,2,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
a63a4f84ca90,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
ca62f9b95ef2,AUTO,AUTO,True,3.4,3,4,2,3,5,retrieved_intent=billing_payment; evidence_overlap=1.00
417768d14bcf,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
e0e18a49a5ad,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00
43dbbdef0b3b,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
890e6566d77a,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
46ebb8087a4e,AUTO,AUTO,True,3.4,3,4,2,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
df5b6a2051aa,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
c34354b31f00,AUTO,AUTO,True,5.0,5,5,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
76cbea79be99,AUTO,ESCALATE,False,3.6,3,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
f2f95737fef9,ESCALATE,ESCALATE,True,3.4,2,3,3,4,5,retrieved_intent=order_change; evidence_overlap=0.00
8f2210ed0ace,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
f0db80445224,ESCALATE,ESCALATE,True,4.2,5,3,4,4,5,retrieved_intent=general_complaint; evidence_overlap=0.08
bdeb009e3e4f,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
fe927bc10ca0,AUTO,AUTO,True,3.8,4,5,2,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
36f39f540bf9,AUTO,AUTO,True,3.8,4,5,2,3,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
7d64df34af45,ESCALATE,ESCALATE,True,4.2,5,3,4,4,5,retrieved_intent=account_membership; evidence_overlap=0.15
a6f3e10bf353,ESCALATE,ESCALATE,True,3.6,3,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
79c08e3926f2,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
